name,source,target,length,free_flow_speed,jam_density,merge_priority
E108,426962411,426962426,63.844,7.0,0.16,1
E109,426962411,426962419,57.053,7.0,0.16,1
E110,426962411,426962406,36.462,7.0,0.16,1
E111,426962411,426962401,40.57,7.0,0.16,1
E112,426962417,461754771,23.741,7.0,0.16,1
E113,426962417,461754684,19.026,7.0,0.16,1
E114,426962417,461754742,10.424,7.0,0.16,1
E115,426962419,426962411,57.053,7.0,0.16,1
E116,426962419,426962426,25.992,4.0,0.16,1
E117,426962419,427593250,36.858,4.0,0.16,1
E118,426962419,10063063245,12.279,7.0,0.16,1
E119,426962426,426962411,63.844,7.0,0.16,1
E120,426962426,9786116672,3.229,4.0,0.16,1
E121,426962426,426962419,25.992,4.0,0.16,1
E122,426962426,11393834515,100.452,5.0,0.16,1
E123,426962427,576096994,62.728,12.0,0.16,1
E124,426962427,427593299,114.951,4.0,0.16,1
E125,426962428,1289821760,75.848,4.0,0.16,1
E126,426962428,576100603,79.044,9.0,0.16,1
E127,426962428,10079431098,55.918000000000006,9.0,0.16,1
E128,426962428,427593124,76.305,4.0,0.16,1
E129,426962429,427593090,54.954,4.0,0.16,1
E130,426962429,10079431071,18.79,4.0,0.16,1
E131,426962429,610333339,53.376,4.0,0.16,1
E132,427531036,427593082,49.797,5.0,0.16,1
E133,427531036,427593281,75.263,12.0,0.16,1
E134,427531040,456036790,80.263,4.0,0.16,1
E135,427531040,456036788,42.215,4.0,0.16,1
E136,427531040,10063594251,42.868,4.0,0.16,1
E137,427531049,429286745,41.039,7.0,0.16,1
E138,427531049,427531050,32.294,4.0,0.16,1
E139,427531049,427593405,122.699,4.0,0.16,1
E140,427531050,461754889,48.811,4.0,0.16,1
E141,427531050,427531049,32.294,4.0,0.16,1
E142,427531050,427593211,24.627,4.0,0.16,1
E143,427531052,6197308207,31.085,4.0,0.16,1
E144,427531052,10063059354,54.631,7.0,0.16,1
E145,427531052,10063059353,100.83800000000001,4.0,0.16,1
E146,427531053,5353889632,44.172,4.0,0.16,1
E147,427531053,10063059353,34.676,4.0,0.16,1
E148,427531053,427593212,44.113,4.0,0.16,1
E149,427531054,456029909,47.058,5.0,0.16,1
E150,427531054,11145789231,8.684,12.0,0.16,1
E151,427531060,427593367,40.824,7.0,0.16,1
E152,427531060,6197308208,33.296,7.0,0.16,1
E153,427531060,6197308210,44.207,7.0,0.16,1
E154,427531069,461755220,36.965,7.0,0.16,1
E155,427531069,456036833,5.771,4.0,0.16,1
E156,427531071,461754911,7.701,4.0,0.16,1
E157,427531071,3422923600,74.97500000000001,7.0,0.16,1
E158,427531071,456036804,34.833,4.0,0.16,1
E159,427593065,427531052,36.617,4.0,0.16,1
E160,427593065,11006956795,58.678,7.0,0.16,1
E161,427593065,10063052400,102.605,7.0,0.16,1
E162,427593067,427593122,93.872,7.0,0.16,1
E163,427593067,427593072,135.371,4.0,0.16,1
E164,427593067,427593113,110.769,4.0,0.16,1
E165,427593067,427593294,72.03200000000001,4.0,0.16,1
E166,427593072,427593109,78.781,9.0,0.16,1
E167,427593072,427593067,135.371,4.0,0.16,1
E168,427593072,427593078,14.447,9.0,0.16,1
E169,427593074,617235507,66.09,7.0,0.16,1
E170,427593074,10079417512,51.702,4.0,0.16,1
E171,427593074,4352585854,60.156,4.0,0.16,1
E172,427593074,9190134570,31.333,7.0,0.16,1
E173,427593075,610333282,98.456,7.0,0.16,1
E174,427593075,610333339,50.291,4.0,0.16,1
E175,427593075,10079431073,8.251,4.0,0.16,1
E176,427593076,2631196070,96.484,7.0,0.16,1
E177,427593076,1578117090,39.55,7.0,0.16,1
E178,427593076,580236832,98.521,7.0,0.16,1
E179,427593077,427593136,39.458,4.0,0.16,1
E180,427593077,427593283,144.079,7.0,0.16,1
E181,427593077,5353889632,156.37900000000002,7.0,0.16,1
E182,427593078,427593118,41.151,7.0,0.16,1
E183,427593078,427593294,100.195,9.0,0.16,1
E184,427593078,427593072,14.447,9.0,0.16,1
E185,427593079,427593133,76.751,12.0,0.16,1
E186,427593079,427593286,107.142,7.0,0.16,1
E187,427593080,427593081,103.213,12.0,0.16,1
E188,427593080,427593369,45.769,7.0,0.16,1
E189,427593081,427593367,48.366,4.0,0.16,1
E190,427593081,426962409,194.52,12.0,0.16,1
E191,427593082,427593138,35.752,7.0,0.16,1
E192,427593082,426962389,151.07999999999998,5.0,0.16,1
E193,427593083,10063436999,15.764,7.0,0.16,1
E194,427593083,10063063241,78.622,7.0,0.16,1
E195,427593083,427593158,45.033,7.0,0.16,1
E196,427593085,295735338,107.518,12.0,0.16,1
E197,427593085,1578117098,39.964999999999996,4.0,0.16,1
E198,427593086,427593346,97.52,7.0,0.16,1
E199,427593086,461539247,76.433,7.0,0.16,1
E200,427593086,577450297,148.265,7.0,0.16,1
E201,427593087,427593238,34.078,7.0,0.16,1
E202,427593087,10063093181,47.413,7.0,0.16,1
E203,427593087,427593239,108.938,7.0,0.16,1
E204,427593088,461539232,35.133,7.0,0.16,1
E205,427593088,461539242,48.374,7.0,0.16,1
E206,427593088,427593347,112.315,4.0,0.16,1
E207,427593088,9360650403,62.887,4.0,0.16,1
E208,427593089,3422924508,60.061,7.0,0.16,1
E209,427593089,613014002,11.819,4.0,0.16,1
E210,427593089,427593401,95.031,4.0,0.16,1
E211,427593090,610333359,49.873,7.0,0.16,1
E212,427593090,426962429,54.954,4.0,0.16,1
E213,427593090,1289821760,85.393,4.0,0.16,1
E214,427593091,427593092,54.032,7.0,0.16,1
E215,427593091,427593400,104.506,7.0,0.16,1
E216,427593091,10028878539,31.407,9.0,0.16,1
E217,427593092,427593091,54.032,7.0,0.16,1
E218,427593092,10028878536,5.225,9.0,0.16,1
E219,427593092,427593097,23.365,9.0,0.16,1
E220,427593097,442966051,66.548,7.0,0.16,1
E221,427593097,427593092,23.365,9.0,0.16,1
E222,427593097,295747253,82.988,9.0,0.16,1
E223,427593098,442966312,67.082,7.0,0.16,1
E224,427593098,442966046,76.996,4.0,0.16,1
E225,427593098,427593400,106.06899999999999,7.0,0.16,1
E226,427593098,295747255,151.579,4.0,0.16,1
E227,427593099,610181414,46.231,7.0,0.16,1
E228,427593099,610181415,39.882,7.0,0.16,1
E229,427593099,610181413,76.941,7.0,0.16,1
E230,427593099,427593180,103.181,7.0,0.16,1
E231,427593100,655441719,34.042,7.0,0.16,1
E232,427593100,610181070,71.572,7.0,0.16,1
E233,427593100,11393941774,108.21000000000001,9.0,0.16,1
E234,427593100,10079431132,111.69800000000001,9.0,0.16,1
E235,427593101,460976063,53.382,9.0,0.16,1
E236,427593101,580250771,76.911,7.0,0.16,1
E237,427593101,10094600862,84.533,4.0,0.16,1
E238,427593103,427593300,215.336,7.0,0.16,1
E239,427593103,442966201,52.714,7.0,0.16,1
E240,427593103,10079377678,109.7,4.0,0.16,1
